timestamp,open,high,low,close,volume
2019-12-02 16:00:00,149.6900,149.8900,149.4900,149.5500,997238
2019-12-02 15:59:00,149.7100,149.7600,149.6700,149.6900,122201
2019-12-02 15:58:00,149.7300,149.7600,149.6900,149.7100,175453
2019-12-02 15:57:00,149.7700,149.8400,149.7000,149.7250,186828
2019-12-02 15:56:00,149.7800,149.8700,149.7400,149.7600,148582
2019-12-02 15:55:00,149.9100,150.0200,149.7700,149.7806,220427
2019-12-02 15:54:00,149.9650,149.9700,149.8800,149.9100,59638
2019-12-02 15:53:00,149.9700,150.0000,149.9500,149.9650,43151
2019-12-02 15:52:00,149.8300,150.0000,149.8300,149.9783,116164
2019-12-02 15:51:00,149.9400,149.9400,149.8000,149.8350,141999
2019-12-02 15:50:00,149.9300,149.9700,149.9100,149.9400,37514
2019-12-02 15:49:00,149.9850,149.9900,149.8000,149.9200,109246
2019-12-02 15:48:00,150.0250,150.0550,149.9900,150.0000,29860
2019-12-02 15:47:00,150.0150,150.0700,149.9900,150.0250,37808
2019-12-02 15:46:00,150.0207,150.0600,150.0100,150.0200,53220
2019-12-02 15:45:00,149.9850,150.0900,149.9800,150.0300,54497
2019-12-02 15:44:00,149.9900,150.0200,149.9500,149.9850,42638
2019-12-02 15:43:00,149.9750,150.0095,149.9600,149.9900,35106
2019-12-02 15:42:00,149.9700,149.9958,149.9500,149.9700,40576
2019-12-02 15:41:00,149.9265,149.9700,149.8850,149.9650,39885
2019-12-02 15:40:00,149.9800,149.9800,149.8900,149.9244,41337
2019-12-02 15:39:00,149.8700,149.9750,149.8700,149.9687,70910
2019-12-02 15:38:00,149.8190,149.9200,149.8000,149.8800,44983
2019-12-02 15:37:00,149.7400,149.8300,149.7400,149.8150,32906
2019-12-02 15:36:00,149.7600,149.7600,149.7073,149.7326,25217
2019-12-02 15:35:00,149.6900,149.7600,149.6800,149.7600,38548
2019-12-02 15:34:00,149.6400,149.6900,149.6200,149.6900,35227
2019-12-02 15:33:00,149.5900,149.6556,149.5900,149.6300,51737
2019-12-02 15:32:00,149.7100,149.7100,149.5950,149.5950,27940
2019-12-02 15:31:00,149.6900,149.7100,149.6600,149.7099,38196
2019-12-02 15:30:00,149.7300,149.7300,149.6600,149.7000,31820
2019-12-02 15:29:00,149.8000,149.8200,149.7364,149.7364,33703
2019-12-02 15:28:00,149.6950,149.7956,149.6900,149.7900,48306
2019-12-02 15:27:00,149.6450,149.7000,149.6450,149.6900,24483
2019-12-02 15:26:00,149.6700,149.7000,149.6450,149.6450,24545
2019-12-02 15:25:00,149.6344,149.6800,149.6120,149.6762,37813
2019-12-02 15:24:00,149.7000,149.7050,149.5900,149.6200,61596
2019-12-02 15:23:00,149.8250,149.8250,149.6900,149.6900,47246
2019-12-02 15:22:00,149.8400,149.8500,149.8200,149.8259,28843
2019-12-02 15:21:00,149.9100,149.9100,149.8400,149.8400,18695
2019-12-02 15:20:00,149.9050,149.9250,149.8700,149.9034,19228
2019-12-02 15:19:00,149.9100,149.9200,149.8800,149.9014,18572
2019-12-02 15:18:00,149.8600,149.9100,149.8500,149.8983,40485
2019-12-02 15:17:00,149.8200,149.8700,149.8200,149.8600,27583
2019-12-02 15:16:00,149.8300,149.8300,149.8000,149.8250,29174
2019-12-02 15:15:00,149.8500,149.8900,149.8400,149.8400,35769
2019-12-02 15:14:00,149.8500,149.8500,149.7900,149.8450,40737
2019-12-02 15:13:00,149.8300,149.8800,149.8100,149.8550,42662
2019-12-02 15:12:00,149.8700,149.9100,149.8300,149.8350,32442
2019-12-02 15:11:00,149.8921,149.9300,149.8700,149.8700,35616
2019-12-02 15:10:00,149.9450,149.9600,149.8900,149.9000,31081
2019-12-02 15:09:00,150.0200,150.0200,149.9450,149.9450,51488
2019-12-02 15:08:00,150.0450,150.0700,150.0150,150.0300,30518
2019-12-02 15:07:00,150.0900,150.1100,150.0350,150.0400,41551
2019-12-02 15:06:00,150.1100,150.1400,150.0600,150.0800,41142
2019-12-02 15:05:00,150.1300,150.1450,150.1100,150.1100,12555
2019-12-02 15:04:00,150.1154,150.1700,150.1100,150.1200,19322
2019-12-02 15:03:00,150.1300,150.1600,150.1100,150.1154,31567
2019-12-02 15:02:00,150.1900,150.2000,150.1000,150.1300,22215
2019-12-02 15:01:00,150.1650,150.1900,150.1450,150.1900,27799
2019-12-02 15:00:00,150.1700,150.1800,150.1500,150.1700,21069
2019-12-02 14:59:00,150.1350,150.1900,150.1300,150.1800,53995
2019-12-02 14:58:00,150.1200,150.1500,150.1100,150.1300,18619
2019-12-02 14:57:00,150.0735,150.1200,150.0500,150.1190,17670
2019-12-02 14:56:00,150.0400,150.0950,150.0350,150.0700,20439
2019-12-02 14:55:00,150.0700,150.0700,150.0300,150.0350,17657
2019-12-02 14:54:00,150.0850,150.0900,150.0345,150.0600,18840
2019-12-02 14:53:00,150.0550,150.1000,150.0500,150.0850,17691
2019-12-02 14:52:00,150.1200,150.1200,150.0500,150.0549,32282
2019-12-02 14:51:00,150.1350,150.1600,150.1118,150.1243,18775
2019-12-02 14:50:00,150.1400,150.1600,150.1300,150.1300,11960
2019-12-02 14:49:00,150.1650,150.1700,150.1200,150.1300,10492
2019-12-02 14:48:00,150.1313,150.1800,150.1200,150.1650,13266
2019-12-02 14:47:00,150.1900,150.1900,150.0800,150.1400,22464
2019-12-02 14:46:00,150.1200,150.1800,150.1150,150.1800,26188
2019-12-02 14:45:00,150.0999,150.1400,150.0950,150.1201,20299
2019-12-02 14:44:00,150.0500,150.1200,150.0500,150.0950,40128
2019-12-02 14:43:00,150.0356,150.0800,150.0350,150.0500,20260
2019-12-02 14:42:00,150.0600,150.0750,150.0100,150.0300,18648
2019-12-02 14:41:00,150.0600,150.0900,150.0450,150.0600,24958
2019-12-02 14:40:00,150.0199,150.0645,150.0100,150.0550,19686
2019-12-02 14:39:00,150.0367,150.0600,150.0100,150.0114,11977
2019-12-02 14:38:00,150.0500,150.0550,150.0200,150.0350,18427
2019-12-02 14:37:00,150.0702,150.0800,150.0400,150.0450,10554
2019-12-02 14:36:00,150.1050,150.1300,150.0700,150.0737,45934
2019-12-02 14:35:00,150.0600,150.1100,150.0500,150.1050,26912
2019-12-02 14:34:00,150.0607,150.0800,150.0600,150.0650,12420
2019-12-02 14:33:00,150.0701,150.0900,150.0200,150.0700,57010
2019-12-02 14:32:00,150.1000,150.1500,150.0700,150.0700,36250
2019-12-02 14:31:00,150.1650,150.2000,150.1100,150.1150,64557
2019-12-02 14:30:00,150.1500,150.1750,150.1396,150.1634,16022
2019-12-02 14:29:00,150.1777,150.1800,150.1500,150.1600,10175
2019-12-02 14:28:00,150.1787,150.1900,150.1400,150.1741,20503
2019-12-02 14:27:00,150.1817,150.1900,150.1699,150.1726,18984
2019-12-02 14:26:00,150.1800,150.1900,150.1644,150.1800,12177
2019-12-02 14:25:00,150.1750,150.2000,150.1400,150.1800,14761
2019-12-02 14:24:00,150.1550,150.1900,150.1400,150.1700,20366
2019-12-02 14:23:00,150.1300,150.1700,150.1156,150.1700,67628
